Sir William MacGregor Drive,WeekDays,10:30,10%
Sir William MacGregor Drive,WeekDays,11:00,10%
Sir William MacGregor Drive,WeekDays,11:30,10%
Sir William MacGregor Drive,WeekDays,12:00,9%
Sir William MacGregor Drive,WeekDays,12:30,10%
Sir William MacGregor Drive,WeekDays,13:00,10%
Sir William MacGregor Drive,WeekDays,13:30,9%
Sir William MacGregor Drive,WeekDays,14:00,11%
Sir William MacGregor Drive,WeekDays,14:30,12%
Sir William MacGregor Drive,WeekDays,15:00,13%
Sir William MacGregor Drive,WeekDays,15:30,15%
Sir William MacGregor Drive,WeekDays,16:00,18%
Sir William MacGregor Drive,WeekDays,16:30,25%
Sir William MacGregor Drive,WeekDays,17:00,28%
Sir William MacGregor Drive,WeekDays,17:30,35%
Sir William MacGregor Drive,WeekDays,18:00,40%
Sir William MacGregor Drive,WeekDays,18:30,43%
Sir William MacGregor Drive,WeekDays,19:00,40%
Sir William MacGregor Drive,WeekDays,19:30,41%
Sir William MacGregor Drive,WeekDays,20:00,47%
Sir William MacGregor Drive,WeekDays,20:30,54%
Sir William MacGregor Drive,WeekDays,21:00,59%
Sir William MacGregor Drive,WeekDays,21:30,67%
Sir William MacGregor Drive,WeekDays,22:00,69%
Sir William MacGregor Drive,WeekDays,22:30,72%
Sir William MacGregor Drive,WeekDays,23:00,75%
Sir William MacGregor Drive,WeekDays,23:30,78%
Sir William MacGregor Drive,WeekDays,0:00,83%
Sir William MacGregor Drive,WeekEnds,0:30,93%
Sir William MacGregor Drive,WeekEnds,1:00,95%
Sir William MacGregor Drive,WeekEnds,1:30,97%
Sir William MacGregor Drive,WeekEnds,2:00,97%
Sir William MacGregor Drive,WeekEnds,2:30,97%
Sir William MacGregor Drive,WeekEnds,3:00,97%
Sir William MacGregor Drive,WeekEnds,3:30,97%
Sir William MacGregor Drive,WeekEnds,4:00,97%
Sir William MacGregor Drive,WeekEnds,4:30,97%
Sir William MacGregor Drive,WeekEnds,5:00,97%
Sir William MacGregor Drive,WeekEnds,5:30,95%
Sir William MacGregor Drive,WeekEnds,6:00,93%
Sir William MacGregor Drive,WeekEnds,6:30,92%
Sir William MacGregor Drive,WeekEnds,7:00,89%
Sir William MacGregor Drive,WeekEnds,7:30,82%
Sir William MacGregor Drive,WeekEnds,8:00,68%
Sir William MacGregor Drive,WeekEnds,8:30,60%
Sir William MacGregor Drive,WeekEnds,9:00,52%
Sir William MacGregor Drive,WeekEnds,9:30,48%
Sir William MacGregor Drive,WeekEnds,10:00,43%
Sir William MacGregor Drive,WeekEnds,10:30,39%
Sir William MacGregor Drive,WeekEnds,11:00,37%
Sir William MacGregor Drive,WeekEnds,11:30,39%
Sir William MacGregor Drive,WeekEnds,12:00,39%
Sir William MacGregor Drive,WeekEnds,12:30,41%
Sir William MacGregor Drive,WeekEnds,13:00,38%
Sir William MacGregor Drive,WeekEnds,13:30,35%
Sir William MacGregor Drive,WeekEnds,14:00,35%
Sir William MacGregor Drive,WeekEnds,14:30,37%
Sir William MacGregor Drive,WeekEnds,15:00,35%
Sir William MacGregor Drive,WeekEnds,15:30,42%
Sir William MacGregor Drive,WeekEnds,16:00,46%
Sir William MacGregor Drive,WeekEnds,16:30,50%
Sir William MacGregor Drive,WeekEnds,17:00,57%
Sir William MacGregor Drive,WeekEnds,17:30,71%
Sir William MacGregor Drive,WeekEnds,18:00,77%
Sir William MacGregor Drive,WeekEnds,18:30,82%
Sir William MacGregor Drive,WeekEnds,19:00,85%
Sir William MacGregor Drive,WeekEnds,19:30,87%
Sir William MacGregor Drive,WeekEnds,20:00,87%
Sir William MacGregor Drive,WeekEnds,20:30,87%
Sir William MacGregor Drive,WeekEnds,21:00,87%
Sir William MacGregor Drive,WeekEnds,21:30,88%
Sir William MacGregor Drive,WeekEnds,22:00,88%
Sir William MacGregor Drive,WeekEnds,22:30,90%
Sir William MacGregor Drive,WeekEnds,23:00,93%
Sir William MacGregor Drive,WeekEnds,23:30,95%
Sir William MacGregor Drive,WeekEnds,0:00,95%
